Symbol,Name,Market_Cap,Country,Volume,Sector,Industry
TMUS,T-Mobile US Inc. Common Stock,182114867479.0,United States,4617713,Telecommunications,Telecommunications Equipment
CMCSA,Comcast Corporation Class A Common Stock,164932123551.0,United States,13992744,Consumer Discretionary,Telecommunications Equipment
ADBE,Adobe Inc. Common Stock,163365930000.0,United States,2985688,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,158875999979.0,United States,4060798,Technology,Semiconductors
NFLX,Netflix Inc. Common Stock,154962864177.0,United States,5291994,Consumer Discretionary,Consumer Electronics/Video Chains
QCOM,QUALCOMM Incorporated Common Stock,142407800000.0,United States,6021867,Technology,Computer peripheral equipment
HON,Honeywell International Inc. Common Stock,134576809558.0,United States,2850383,Industrials,Consumer Electronics/Appliances
AMGN,Amgen Inc. Common Stock,128437304526.0,United States,2977597,Health Care,Biotechnology: Pharmaceutical Preparations
AMD,Advanced Micro Devices Inc. Common Stock,127748150538.0,United States,47784105,Technology,Semiconductors
SBUX,Starbucks Corporation Common Stock,123090030000.0,United States,6876112,Consumer Discretionary,Beverages - Non-Alcoholic
SNY,Sanofi ADS,119045369825.0,France,1065205,Health Care,Biotechnology: Pharmaceutical Preparations
PDD,PDD Holdings Inc. American Depositary Shares,118118909198.0,China,7494749,Consumer Discretionary,Catalog/Specialty Distribution
INTC,Intel Corporation Common Stock,114222570000.0,United States,32054705,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,113600593033.0,United States,1626071,Technology,Computer Software: Prepackaged Software
GILD,Gilead Sciences Inc. Common Stock,105695720000.0,United States,6306248,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,97482835082.0,United States,3774898,Technology,Semiconductors
AMAT,Applied Materials Inc. Common Stock,97324948909.0,United States,9285548,Technology,Semiconductors
BKNG,Booking Holdings Inc. Common Stock,95499861150.0,United States,286965,Consumer Discretionary,Other Consumer Services
ADP,Automatic Data Processing Inc. Common Stock,94760125898.0,United States,1659501,Consumer Discretionary,Business Services
MDLZ,Mondelez International Inc. Class A Common Stock,91137062856.0,United States,7339845,Consumer Staples,Meat/Poultry/Fish
PYPL,PayPal Holdings Inc. Common Stock,84468330429.0,United States,15830834,Consumer Discretionary,Business Services
ISRG,Intuitive Surgical Inc. Common Stock,83711598210.0,United States,1595597,Health Care,Medical/Dental Instruments
JD,JD.com Inc. American Depositary Shares,83002810000.0,China,6337692,Consumer Discretionary,Catalog/Specialty Distribution
REGN,Regeneron Pharmaceuticals Inc. Common Stock,81856398830.0,United States,492719,Health Care,Biotechnology: Pharmaceutical Preparations
CHTR,Charter Communications Inc. Class A Common Stock New,81062212405.0,United States,678563,Consumer Discretionary,Telecommunications Equipment
ABNB,Airbnb Inc. Class A Common Stock,78486109321.0,United States,11374860,Consumer Discretionary,Hotels/Resorts
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,75497472564.0,United States,1278014,Health Care,Biotechnology: Pharmaceutical Preparations
FISV,Fiserv Inc. Common Stock,73263189128.0,United States,2820242,Consumer Discretionary,Business Services
CME,CME Group Inc. Class A Common Stock,67859111991.0,United States,1662536,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,66882481353.0,United States,1384147,Technology,Industrial Machinery/Components
EQIX,Equinix Inc. Common Stock REIT,66327619307.0,United States,428032,Real Estate,Real Estate Investment Trusts
CSX,CSX Corporation Common Stock,65616176432.0,United States,12394192,Industrials,Railroads
MU,Micron Technology Inc. Common Stock,64390328334.0,United States,10873215,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,64004466135.0,United States,5055890,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,Activision Blizzard Inc. Common Stock,60708245995.0,United States,5358939,Consumer Discretionary,Recreational Games/Products/Toys
NTES,NetEase Inc. American Depositary Shares,56379553539.0,China,716182,Consumer Discretionary,Recreational Games/Products/Toys
MELI,MercadoLibre Inc. Common Stock,55368138857.0,Argentina,427523,Consumer Discretionary,Catalog/Specialty Distribution
ORLY,O'Reilly Automotive Inc. Common Stock,54434985465.0,United States,585540,Consumer Discretionary,Auto & Home Supply Stores
MNST,Monster Beverage Corporation,54395009170.0,United States,1361175,Consumer Staples,Beverages (Production/Distribution)
SNPS,Synopsys Inc. Common Stock,54024274413.0,United States,899604,Technology,EDP Services
